datetime,observed
2019-01-02 05:57:00,476
2019-01-02 07:22:00,
2019-01-02 07:52:00,432
2019-01-02 08:24:00,447
2019-01-02 08:50:00,441
2019-01-02 16:53:00,453
2019-01-02 17:13:00,481
2019-01-02 17:30:00,
2019-01-03 04:47:00,461
2019-01-03 05:28:00,460
2019-01-03 05:53:00,490
2019-01-03 06:12:00,448
2019-01-03 06:31:00,450
2019-01-03 11:01:00,426
2019-01-03 11:19:00,461
2019-01-03 11:38:00,431
2019-01-03 11:54:00,412
2019-01-03 12:11:00,425
2019-01-03 12:30:00,436
2019-01-03 12:50:00,442
2019-01-03 13:13:00,439
2019-01-03 13:40:00,479
2019-01-03 15:00:00,477
2019-01-03 15:01:00,503
2019-01-03 15:17:00,487
2019-01-03 15:19:00,474
2019-01-03 15:35:00,501
2019-01-03 15:36:00,490
2019-01-03 15:56:00,421
2019-01-03 16:15:00,459
2019-01-03 16:58:00,461
2019-01-03 17:16:00,426
2019-01-03 17:36:00,448
2019-01-03 17:55:00,443
2019-01-03 18:12:00,441
2019-01-03 18:29:00,439
2019-01-03 18:46:00,468
2019-01-03 19:05:00,443
2019-01-04 05:41:00,417
2019-01-04 06:14:00,414
2019-01-04 06:30:00,472
2019-01-04 06:57:00,443
2019-01-04 07:25:00,439
2019-01-04 07:45:00,435
2019-01-04 08:05:00,405
2019-01-04 08:31:00,400
2019-01-04 08:50:00,418
2019-01-04 11:35:00,
2019-01-04 15:54:00,
2019-01-05 12:45:00,487
2019-01-05 13:05:00,632
2019-01-05 13:28:00,575
2019-01-05 13:46:00,552
2019-01-05 14:02:00,549
2019-01-05 14:18:00,544
2019-01-05 14:34:00,543
2019-01-05 14:50:00,518
2019-01-05 15:06:00,468
2019-01-05 15:22:00,466
2019-01-05 15:41:00,488
2019-01-07 06:25:00,459
2019-01-07 06:44:00,453
2019-01-07 07:08:00,452
2019-01-07 07:24:00,467
2019-01-07 07:45:00,477
2019-01-07 08:04:00,503
2019-01-07 08:21:00,466
2019-01-07 08:45:00,426
2019-01-07 09:01:00,434
2019-01-07 09:18:00,455
2019-01-07 09:40:00,476
2019-01-07 09:55:00,480
2019-01-07 10:11:00,496
2019-01-07 10:27:00,517
2019-01-07 10:45:00,474
2019-01-07 15:25:00,
2019-01-09 07:33:00,528
2019-01-09 07:54:00,517
2019-01-09 08:14:00,520
2019-01-09 08:29:00,462
2019-01-09 08:48:00,502
2019-01-09 09:02:00,497
2019-01-09 09:20:00,424
2019-01-09 09:45:00,448
2019-01-09 10:00:00,491
2019-01-09 10:18:00,535
2019-01-09 10:33:00,528
2019-01-09 10:48:00,496
2019-01-09 12:19:00,426
2019-01-09 13:00:00,410
2019-01-09 13:15:00,444
2019-01-09 13:38:00,444
2019-01-09 14:20:00,461
2019-01-09 14:55:00,476
2019-01-09 15:12:00,477
2019-01-09 15:27:00,491
2019-01-09 15:50:00,443
2019-01-09 16:33:00,424
2019-01-09 16:51:00,438
2019-01-09 18:05:00,447
